Matched nick	Level	Country	Is Payer	Duplicate?
Tidevorn	110	CL	Yes	
Fishioslady420	40	US	No	
DarkeyBarkey	62	CA	No	
SchNi2000	36	LU	Yes	
mathispepe63	50	FR	Yes	
Moogal	62	SE	Yes	
F4Zion Weezy	56	FR	Yes	
scott295	105		Yes	
Gruby_Co_Sruby	84	PL	No	
gdstew	82	US	Yes	
kistusa-HU	73	HU	Yes	
ReaperEnigma	93	US	Yes	
				
				
GrampycoloN	106	CN	Yes	
Steelbird05	37	ES	No	
Karmaus	95	RO	Yes	
ShrimpDaddy	64	US	Yes	
deadboy341	51	US	Yes	
FisherMan1120	87	GB	Yes	
Legends-Canadianzippo	84	CA	Yes	
vinniauthor	109	GB	No	
AT_NeoLex	100	LT	Yes	
shore_fishing	108	ES	Yes	
SuperDorkus	61	GB	Yes	
acon099786	62	GB	Yes	
Hronomiraj	94	UA	Yes	
Foxiii	110	FR	Yes	
drkheart	106	US	Yes	
GeneralKlinch	102	US	Yes	
Angler_Soyokaze_JPN	110	JP	Yes	
TwiztidGurl96	85	US	Yes	
harrykojima	103	US	Yes	
Ki-Yu	27	US	Yes	
RtMedic66	68	US	Yes	
zig.25	42	US	Yes	
marionsfg	73	RO	Yes	
				
BrightShopBullet2	110	AT	Yes	
chebonaparte	32		Yes	
ByaSygi	55	PL	Yes	
Ranabel	52	MY	No	
X_Sooner	39	PL	Yes	
itsblunty	83		Yes	
winox_1911	104	FR	Yes	
Givrally	48	FR	Yes	
ScottyInNZ	110	NZ	Yes	
				
Altior	85	UA	Yes	
kylorif	65	BN	Yes	
Sneaky_Prawn	70	ZA	Yes	
fieldmasternz	91	NZ	Yes	
WisniaEZ	68	PL	Yes	
jarja2541	56		No	
FatalStrategy	25		Yes	
QBYST	57		Yes	
geri1	51	HU	Yes	
				
A_WICKED_QUEEN	104	US	Yes	
MiauFishingTeam_GatoMelon	102	ES	Yes	
FinalXkbox	106	ES	Yes	
				
reel_coolozzy	24	NZ	No	
GeLokoGamer	90	BR	Yes	
				
AshleyLynn86574	72	US	Yes	
xoro-jona	100	MX	No	
AchrafB	75	TN	No	
SeattleColt	110	US	Yes	
AffableScallopIdol	28	HU	No	
Bacon_C-G-J-J-A	83	US	Yes	
Mocarz199	74	PL	Yes	
				
				
				
rakowiak1921	44	PL	Yes	
Turkey	8		No	
				
				
				
Rem07100	24	FR	No	
Turkey	8		No	DUPLICATE
DydouX_	65	FR	Yes	
Skrebutis	75	LT	Yes	
JamesRay2011	19	US	No	
Rem07100	24	FR	No	DUPLICATE
GRUMPY--TACO	108	US	Yes	
Cyberyeka	82	ES	Yes	
				
Biro23	106	BR	Yes	
				
CAST_AND_CONQUER	110	US	Yes	
Yank_n_Tuggit	78	CA	Yes	
AFC-Azeskk	100	ID	Yes	
JunKobs	95	BR	Yes	
Ace_Slayer69	72	US	Yes	
				
NiKoPrO_BG	110	BG	Yes	
Catfish7305	72	US	Yes	
AcE_zBeast	83	US	Yes	
stevemcgarret	61		Yes	
				
flanno2	110	GB	Yes	
Lobotomyfatal_YouTube	98	DE	Yes	
Kacperowsky567	51	PL	Yes	
YT_Curupt_Gaming	58	US	Yes	
